Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"What's a Girl to Do","Fatima Yamaha","A Girl Between Two Worlds","Aspis BôB ","Playlist","NLW041200326","5N720bYInxSsiUDvBOLM3C"
"Dancing Queen","ABBA","Arrival","Aspis BôB ","Playlist","SEAYD7601020","0GjEhVFGZW8afUYGChu3Rr"
"What's Up?","4 Non Blondes","Bigger, Better, Faster, More !","Aspis BôB ","Playlist","USIR19200553","0jWgAnTrNZmOGmqgvHhZEm"
"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","Voulez-Vous","Aspis BôB ","Playlist","SEAYD7901120","3vkQ5DAB1qQMYO4Mr9zJN6"
"Back In Black","AC/DC","Back In Black","Aspis BôB ","Playlist","AUAP08000046","08mG3Y1vljYA6bvDt4Wqkj"
"Tears Dry On Their Own","Amy Winehouse","Back To Black","Aspis BôB ","Playlist","GBUM70603494","6yLX8QnxlnEqZfs3YKCfjF"
"Knockin' On Heaven's Door","Bob Dylan","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","Aspis BôB ","Playlist","USSM11304547","6HSXNV0b4M4cLJ7ljgVVeh"
"Knockin' On Heaven's Door","Guns N' Roses","Use Your Illusion II","Aspis BôB ","Playlist","USGF19142004","4JiEyzf0Md7KEFFGWDDdCr"
"505","Arctic Monkeys","Favourite Worst Nightmare","Aspis BôB ","Playlist","GBCEL0700074","0BxE4FqsDD1Ot4YuBXwAPp"
"Take on Me","a-ha","Hunting High and Low","Aspis BôB ","Playlist","USWB19901214","2WfaOiMkCvy7F5fcp2zZ8L"
"I Wanna Be Yours","Arctic Monkeys","AM","Aspis BôB ","Playlist","GBCEL1300373","5XeFesFbtLpXzIVDNQP22n"
"Stand By Me","Ben E. King","Don't Play That Song (Mono)","Aspis BôB ","Playlist","USAT21402270","3SdTKo2uVsxFblQjpScoHy"
"Clint Eastwood","Gorillaz","Gorillaz","Aspis BôB ","Playlist","GBAYE0001408","1RKUoGiLEbcXN4GY4spQDx"
"Feel Good Inc.","Gorillaz","Demon Days","Aspis BôB ","Playlist","GBAYE0500172","0d28khcov6AiegSCpG5TuT"
"Everybody Wants To Rule The World","Tears For Fears","Songs From The Big Chair (Super Deluxe Edition)","Aspis BôB ","Playlist","GBF088590110","4RvWPyQ5RL0ao9LPZeSouE"
"Dracula","Tame Impala","Dracula","Aspis BôB ","Playlist","USQX92504223","709ZIqPHyFOpx2QdjmeWAM"
"Vienna","Billy Joel","The Stranger (Legacy Edition)","Aspis BôB ","Playlist","USSM17700373","4U45aEWtQhrm8A5mxPaFZ7"
"The Less I Know The Better","Tame Impala","Currents","Aspis BôB ","Playlist","AUUM71500303","6K4t31amVTZDgR3sKmwUJJ"
"Feel Good","Charlotte Cardin","99 Nights (Edition Deluxe)","Aspis BôB ","Playlist","QMDA62398101","1pqKCnjkTBcAX6NyzSDahf"
"Let It Happen","Tame Impala","Currents","Aspis BôB ","Playlist","AUUM71500292","2X485T9Z5Ly0xyaghN73ed"
"Le temps est bon","Bon Entendeur","Aller-retour","Aspis BôB ","Playlist","FRZ051800423","2U5kSevItDmL0XzSDyemRp"
"La Rua Madureira","Nino Ferrer","Nino Ferrer","Aspis BôB ","Playlist","FRZ016900520","6Q2emXXZy652fNKkSSfNht"
"L'amour, l'amour, l'amour","Bon Entendeur","Aller-retour","Aspis BôB ","Playlist","FRZ051800753","6OGpURRDL26WAeouxgnfX9"
"The Adults Are Talking","The Strokes","The New Abnormal","Aspis BôB ","Playlist","USRC11902726","5ruzrDWcT0vuJIOMW7gMnW"
"Fio Maravilha","Bon Entendeur","Rivages","Aspis BôB ","Playlist","FRUM72400020","1DrAW1n5HLSoCa1kVDKse4"
